po_number,vendor,amount,date_issued
615134,Reynolds-Jones,59637.91,2026-02-25
800769,"King, Norris and Warren",45752.7,2026-03-03
677492,Ramos Inc,13353.97,2026-01-28
273826,Duncan Ltd,29813.44,2026-03-18
801607,"Jenkins, Gallegos and Hopkins",85050.11,2026-01-15
111144,Garcia Group,37887.97,2026-01-07
948081,"Smith, Johnson and Friedman",58132.25,2026-01-27
908987,Salinas Ltd,86162.43,2026-01-09
581179,"Chen, Mckenzie and Johnson",52358.89,2026-02-28
542537,Powell-King,39646.29,2026-01-22
653600,Sims PLC,65728.42,2026-01-07
803861,"Hamilton, Terrell and Howe",24457.15,2026-03-21
143390,Ryan-Joseph,57646.89,2026-03-14
377698,Murphy Ltd,27831.42,2026-02-07
333002,Wilson Ltd,10179.87,2026-01-07
606604,Greene-Simpson,22006.28,2026-02-04
116807,"Vasquez, Hansen and Frederick",60173.95,2026-03-17
664780,"Shannon, Castaneda and Le",9767.15,2026-01-27
612849,Jimenez and Sons,42199.97,2026-02-15
162194,Alvarez Ltd,10881.98,2026-02-12
613749,Patterson Ltd,52647.2,2026-03-11
539881,Owen and Sons,17941.99,2026-03-17
817106,"Ford, Williams and Sanders",29437.2,2026-02-05
327753,Boyd-Morgan,29678.84,2026-01-14
180991,Smith-Brennan,8006.34,2026-03-21
668404,Esparza LLC,31682.1,2026-01-20
730741,"Garcia, Salinas and Gamble",3323.98,2026-03-22
492020,Gould Group,3476.91,2026-02-27
612701,"Berg, Barker and Archer",20386.19,2026-02-02
282230,"Scott, Macias and Hall",40406.53,2026-01-19
922056,Bryant-Buchanan,41848.62,2026-02-18
724563,Rogers Ltd,64840.77,2026-02-27
287452,"Bennett, West and Garcia",26392.95,2026-02-28
524638,Moss-Tran,18453.79,2026-01-31
568691,"Smith, Ferrell and Warren",2438.62,2026-02-21
456307,"Owens, Schneider and Gonzalez",20962.88,2026-02-08
399798,Fox and Sons,26565.66,2026-02-03
733826,Simmons-Lyons,80747.12,2026-01-05
676399,"Dawson, Reed and Harrison",87198.76,2026-01-28
429688,Mccoy and Sons,8945.72,2026-03-11
358062,Myers-Douglas,51466.78,2026-02-09
528960,Thomas PLC,12874.1,2026-01-01
251971,Johnson-Barker,95737.86,2026-02-03
131832,Martinez Ltd,33645.13,2026-01-19
850212,Solomon PLC,65842.34,2026-01-21
854062,Marquez Ltd,62775.84,2026-02-19
326333,Gibson Inc,42340.3,2026-01-24
152476,Beck-Carroll,1051.29,2026-03-10
390237,Brennan-Atkins,37209.42,2026-01-26
917703,"Turner, Buchanan and Reyes",38813.94,2026-01-26
740991,"Price, Munoz and Pollard",67136.94,2026-02-14
523364,"Landry, Simpson and Patterson",91851.39,2026-02-18
308367,"Harris, Jefferson and Sanchez",82684.28,2026-02-21
909278,Wilson-Castro,11204.46,2026-01-24
309715,Robertson LLC,45229.36,2026-03-13
126167,"Howard, Castillo and Young",82099.25,2026-02-22
779690,"Fuller, Farley and Bell",95399.27,2026-02-27
577104,"Adkins, Johnson and Miller",17135.4,2026-02-18
603182,Estrada-Vargas,41994.27,2026-02-07
